time,x,y,z
35002,-0.383,-10.707,1.359
35012,-0.306,-10.324,0.363
35025,-0.076,-9.711,0.057
35032,-0.076,-9.174,-0.019
35042,0,-8.638,0.134
35053,0.383,-8.178,0.593
35062,0.612,-8.102,0.976
35072,1.149,-8.408,1.283
35082,1.915,-9.251,1.743
35092,2.298,-9.787,2.049
35103,2.834,-10.554,2.202
35112,2.911,-10.937,2.049
35122,2.988,-11.09,1.819
35132,3.141,-11.09,1.666
35143,2.834,-10.477,1.359
35152,2.528,-10.17,1.283
35163,2.528,-10.17,1.283
35172,1.992,-9.711,1.053
35182,1.992,-9.711,1.053
35192,1.838,-10.247,1.206
35203,1.379,-10.937,0.823
35212,1.072,-11.243,0.44
35223,0.076,-10.783,-0.019
35232,-0.536,-9.787,0.593
35242,-0.536,-9.787,0.593
35252,-0.076,-9.174,2.585
35263,0.766,-9.328,3.275
35272,0.459,-8.791,4.194
35283,0.459,-8.791,4.194
35292,0.383,-7.719,5.267
35302,0.842,-7.719,5.344
35313,1.149,-7.872,5.344
35323,1.915,-8.178,4.96
35332,3.677,-8.638,4.424
35344,4.903,-9.634,5.037
35353,5.593,-12.699,5.037
35362,4.06,-14.461,5.727
35372,3.141,-15.917,5.956
35382,1.685,-16.836,6.34
35394,-0.153,-15.61,6.799
35402,-4.137,-13.082,6.186
35412,-6.589,-11.626,5.114
35423,-8.427,-9.481,3.888
35432,-8.044,-8.102,3.045
35442,-8.044,-8.102,3.045
35453,-2.758,-5.573,0.21
35462,-2.758,-5.573,0.21
35472,-0.612,-4.884,-1.704
35482,1.838,-6.416,-2.317
35492,1.685,-7.336,-1.781
35502,3.371,-9.864,-1.551
35512,3.447,-10.63,-1.474
35523,2.834,-10.63,-0.632
35532,2.221,-10.094,-0.095
35543,0.919,-9.557,0.823
35552,0.612,-9.711,1.359
35562,0.689,-10.477,1.972
35573,0.766,-11.166,2.279
35582,0.612,-11.473,2.355
35592,0.459,-11.55,1.972
35603,0.459,-11.55,0.747
35612,0.612,-11.396,-0.095
35622,0.612,-11.396,-0.095
35633,0.919,-10.17,-1.015
35642,0.996,-9.634,-0.632
35653,0.919,-9.174,-0.172
35662,0.612,-8.791,-0.019
35672,0.459,-8.638,-0.172
35683,0,-8.561,-0.708
35692,-0.383,-8.791,-1.091
35702,-0.919,-9.098,-1.934
35712,-1.532,-9.328,-2.087
35723,-2.298,-9.481,-1.857
35732,-2.681,-9.711,-1.398
35742,-2.834,-10.247,-0.785
35753,-2.528,-10.783,-0.402
35763,-1.608,-11.626,0.057
35773,-1.302,-12.086,-0.172
35782,-1.302,-12.086,-0.172
35792,-1.762,-12.009,-2.624
35803,-2.681,-11.09,-3.696
35812,-2.911,-10.86,-3.237
35822,-2.528,-11.396,-1.857
35832,-1.915,-12.622,-0.095
35843,-2.068,-14.155,1.896
35852,-1.302,-14.921,3.811
35863,1.225,-18.445,5.956
35872,4.29,-23.425,5.727
35882,8.81,-29.325,5.42
35892,8.887,-17.372,10.324
35903,3.064,-9.098,8.945
35912,-0.536,-3.735,4.271
35923,0.536,-2.509,1.896
35932,-0.919,-4.884,0.976
35942,-3.371,-7.795,0.823
35956,-1.915,-7.795,-0.478
35963,-1.302,-6.569,-0.478
35972,0.229,-6.11,0.44
35983,2.298,-6.953,1.206
35993,4.213,-8.102,1.743
36002,8.504,-10.4,0.67
36012,11.875,-12.009,-0.938
36022,14.48,-13.235,-1.245
36033,9.653,-11.166,1.283
36042,3.677,-8.868,2.509
36052,-0.306,-7.106,1.589
36062,-0.612,-6.723,0.67
36072,-0.459,-6.723,-1.321
36083,-0.459,-6.723,-1.321
36092,1.532,-7.182,-0.708
36103,1.532,-7.182,-0.708
36112,1.685,-8.255,2.968
36122,1.685,-8.255,2.968
36132,1.225,-10.554,4.271
36142,1.225,-10.554,4.271
36154,-1.072,-11.166,3.658
36162,-1.072,-11.166,3.658
36172,-0.766,-11.166,2.049
36183,0.153,-11.013,1.206
36192,0.689,-10.63,1.053
36203,1.149,-10.017,1.206
36212,1.455,-9.711,1.436
36223,1.915,-9.328,1.666
36232,2.145,-9.174,1.743
36242,2.145,-9.174,1.743
36253,2.145,-9.021,1.589
36262,2.145,-9.021,1.589
36272,2.375,-9.787,1.819
36282,2.451,-10.094,1.589
36292,2.375,-10.017,1.359
36302,2.068,-9.251,1.283
36312,1.915,-8.791,1.283
36322,1.225,-8.485,1.896
36332,0.842,-8.485,2.126
36342,0.383,-8.868,1.972
36352,0.153,-9.404,1.666
36363,0.229,-10.17,1.13
36372,0.306,-10.63,0.593
36382,0.076,-10.554,-0.019
36393,-0.153,-10.247,0.363
36402,0.076,-10.017,1.666
36412,0.612,-9.711,2.585
36422,0.612,-9.404,3.275
36433,0.996,-8.638,4.118
36442,1.225,-8.178,4.884
36452,1.379,-8.025,5.497
36463,1.379,-8.025,5.497
36472,2.911,-8.715,5.114
36482,2.911,-8.715,5.114
36492,5.669,-11.933,4.577
36503,6.282,-13.695,5.573
36512,5.516,-15.457,6.34
36523,5.516,-15.457,6.34
36532,3.601,-15.687,6.263
36542,0.229,-13.005,6.033
36552,-2.451,-11.09,6.569
36563,-5.363,-9.328,6.953
36572,-6.818,-8.408,6.799
36582,-6.818,-8.408,6.799
36593,-8.581,-6.11,3.428
36602,-8.581,-6.11,3.428
36612,-6.359,-5.037,0.21
36622,-4.597,-5.42,-1.245
36633,-2.988,-6.416,-1.781
36642,-2.988,-6.416,-1.781
36653,0.766,-10.707,-3.237
36662,0.766,-10.707,-3.237
36673,2.681,-12.392,-3.083
36683,3.677,-12.086,-2.317
36692,3.754,-11.166,-0.095
36702,3.677,-10.554,0.747
36712,3.217,-10.17,1.13
36722,3.064,-9.864,1.743
36732,2.988,-9.711,1.896
36742,2.681,-9.557,1.666
36753,2.451,-9.557,1.359
36762,2.451,-9.711,0.823
36772,2.221,-9.711,0.44
36782,2.068,-9.941,-0.172
36792,1.992,-9.941,-0.172
36803,1.532,-9.711,-0.249
36812,0.996,-9.404,-0.402
36822,0.383,-9.174,-0.632
36832,-0.689,-8.868,-1.245
36842,-1.379,-8.715,-1.628
36852,-1.992,-8.945,-1.781
36862,-2.298,-9.864,-1.474
36872,-2.451,-10.937,-1.245
36882,-2.375,-12.469,-0.708
36892,-2.068,-12.929,-0.095
36903,-2.068,-12.929,-0.095
36912,-0.306,-13.159,0.593
36922,0.076,-13.235,0.363
36933,-0.536,-13.159,-1.168
36942,-1.302,-13.465,-1.091
36952,-0.842,-15.61,0.287
36962,0.076,-17.449,2.202
36973,-0.229,-20.667,4.884
36982,1.762,-25.417,6.953
36992,6.205,-23.272,7.489
37002,4.826,-12.392,7.259
37012,2.451,-7.336,5.497
37023,0.536,-2.968,3.045
37032,-0.229,-2.662,1.589
37042,-2.375,-5.344,0.134
37052,-2.375,-7.182,0.287
37063,-0.689,-6.953,0.363
37072,-0.842,-5.956,0.44
37082,-0.383,-6.186,0.9
37092,1.072,-7.182,1.206
37102,3.984,-9.404,1.666
37113,6.359,-11.166,1.513
37122,7.508,-13.082,0.363
37132,7.508,-13.465,-0.632
37143,4.903,-11.166,0.057
37152,3.601,-10.324,0.44
37162,-1.992,-7.489,0.976
37173,-2.834,-7.182,0.134
37183,-2.604,-7.565,-1.168
37193,-1.608,-7.949,-1.551
37202,0.459,-8.638,-0.095
37212,1.379,-8.715,1.359
37223,2.145,-9.098,3.735
37232,2.528,-9.328,4.96
37242,2.834,-10.017,4.96
37253,2.604,-10.324,4.348
37262,2.221,-11.09,3.811
37272,2.221,-11.626,3.428
37283,1.838,-12.086,1.589
37292,1.608,-11.856,0.057
37302,1.915,-10.63,-1.781
37312,1.685,-9.404,-1.704
37323,1.608,-8.178,-0.555
37332,1.608,-7.719,0.287
37343,1.685,-7.565,1.13
37352,1.685,-7.795,1.513
37362,1.685,-7.795,1.513
37373,1.992,-9.098,1.972
37382,1.992,-9.098,1.972
37392,2.145,-9.787,1.436
37403,1.455,-9.404,1.053
37412,1.532,-9.787,0.976
37422,1.532,-9.787,0.976
37433,1.762,-11.09,1.743
37442,1.762,-11.09,1.743
37453,0.153,-10.324,2.049
37462,0.153,-10.324,2.049
37472,0.612,-10.707,0.44
37483,0.612,-10.247,-0.095
37492,0.612,-10.094,0.363
37502,0.612,-10.094,0.363
37513,0.996,-9.711,1.283
37522,0.689,-9.174,2.432
37532,0.536,-8.561,3.198
37543,0.459,-7.872,4.118
37552,0.689,-7.259,4.96
37562,0.689,-7.259,4.96
37574,2.068,-7.719,5.037
37583,2.068,-7.719,5.037
37592,2.068,-7.719,5.037
37602,5.516,-10.247,4.96
