time,x,y,z
10015,-3.44191,-12.53723,1.17299
10066,-4.56958,-13.78461,1.81194
10117,-1.63428,-10.75595,-1.09909
10166,-0.46831,-8.51019,0.41723
10215,-1.44035,-7.92362,-0.57934
10266,-1.07403,-7.13114,-0.19074
10315,-2.68533,-6.39133,0.14781
10373,-2.30466,-5.78558,-2.15764
10415,0.66416,-9.19014,-7.77704
10464,2.47177,-13.18846,-7.79850
10515,2.02884,-8.57004,-4.89224
10565,2.74950,-7.91164,-3.57143
10615,-6.27904,-13.83490,0.57934
10665,-6.14017,-10.41118,1.50677
10716,-1.60794,-7.63870,5.24986
10765,1.49014,-11.33295,3.08030
10815,-3.23840,-8.62990,-4.71820
10867,-1.23685,-9.43196,0.41007
10916,-0.31268,-8.84538,0.57934
10967,-1.58879,-9.06325,-0.03815
11016,-2.22325,-9.04889,0.19311
11066,-1.79469,-9.86052,-0.39100
11115,0.11109,-11.45506,-0.34569
11166,-1.69174,-11.85250,0.30517
11216,0.26671,-14.16290,-3.07076
11265,0.11109,-11.37845,-0.78676
11316,-5.52006,-13.28902,1.96930
11366,-0.38450,-11.50055,0.53405
11424,0.13742,-9.46787,-0.26940
11466,-1.83778,-8.10556,1.00848
11515,-1.03813,-7.50462,-0.22649
11565,-1.91919,-6.73609,0.56504
11615,-2.48901,-5.98670,-0.76292
11665,-1.40922,-5.71137,-4.20323
11715,-1.01897,-9.49181,-7.24061
11765,2.32094,-14.92665,-8.67110
11816,1.35369,-7.03775,-5.09489
11866,-2.86969,-12.51808,1.20161
11916,-3.11629,-10.15979,1.51155
11966,-6.17129,-4.47118,1.55445
12016,0.71204,-14.83806,4.70150
12066,-4.50972,-7.50942,-3.91951
12116,-1.01419,-9.29070,-0.03338
12166,0.26431,-9.14705,0.81537
12217,-2.23283,-9.14705,-0.54834
12266,-2.96068,-8.76398,0.72001
12315,-1.74441,-10.28189,0.51736
12365,-0.60238,-10.63385,-0.54120
12424,-0.85617,-12.02727,0.68902
12466,1.16693,-13.24114,-4.09355
12515,-0.21692,-12.35767,-2.03366
12565,-6.95659,-13.77025,3.84561
12615,-1.97905,-11.62984,1.85485
12665,-0.46351,-9.56125,-0.23842
12715,-2.28790,-7.14789,0.50066
12765,-1.75639,-8.48146,0.16213
12816,-2.52493,-6.60440,0.41007
12866,-2.37887,-5.51265,0.05245
12916,-2.25917,-6.13036,-5.19979
12966,-0.47549,-12.13980,-10.18263
13016,2.23235,-12.06558,-6.49915
13066,2.72077,-6.60440,-5.12112
13115,-6.24072,-12.69286,5.11873
13166,-4.42592,-8.35936,-1.64267
13216,-3.86568,-7.62193,3.84083
13266,1.55240,-13.46140,2.12427
13316,-4.33974,-7.01142,-3.34017
13366,-1.67019,-9.12790,0.72001
13421,0.01053,-8.67778,1.87155
13465,-2.88884,-9.06804,0.10252
13515,-1.79469,-9.02016,1.11816
13565,-1.84018,-9.75517,-0.94650
13615,-0.35577,-11.56998,-0.61272
13665,-0.69575,-12.57794,1.15392
13716,0.58275,-14.63935,-2.54387
13765,-2.53210,-10.99059,2.04798
13816,-6.99730,-14.07431,0.91312
13867,-2.46507,-10.27472,2.77751
13916,-2.75955,-8.86693,-2.39605
13966,-1.78033,-8.17261,0.27656
14015,-1.96467,-8.01938,-0.92743
14066,-3.09953,-6.53737,0.58888
14116,-1.57922,-5.20380,-1.42094
14166,-0.65266,-5.24928,-3.24957
14215,1.21721,-9.64026,-9.52222
14266,-0.80829,-12.71919,-8.72355
14316,1.38719,-7.37294,-4.74204
14366,-8.73788,-15.68561,0.67472
14426,-3.04207,-4.87100,2.13141
14465,-6.03004,-9.77672,2.39844
14515,0.81738,-13.21001,1.82863
14565,-1.34938,-7.77995,-2.34837
14615,-1.28473,-8.63230,0.82492
14664,-0.94475,-9.38886,-0.73908
14714,-1.82342,-9.24521,0.88928
14764,-3.55203,-9.00339,0.62227
14816,-1.69174,-10.03290,-0.09298
14866,0.33136,-12.10868,-0.72715
14916,-2.05566,-12.33133,0.06675
14966,1.88040,-13.23155,-4.19368
15016,-3.68611,-13.17409,-3.02546
15066,-10.80168,-13.93067,6.08908
15116,1.43987,-11.13663,0.17165
15166,-2.49141,-9.35774,0.51975
15216,-2.71167,-6.47751,0.56027
15267,-1.55049,-6.75524,0.56504
15316,-2.93194,-5.43843,1.45432
15366,-1.96707,-5.49590,-0.65802
15423,-0.78435,-7.88770,-7.46949
15465,-1.27994,-15.73589,-12.84810
15515,2.87399,-8.15346,-5.86497
15564,-4.34930,-14.48851,0.21458
15615,-1.86412,-12.46062,0.18358
15665,-6.78181,-1.48320,0.70570
15715,-0.16424,-15.28339,5.07582
15765,-2.63745,-7.51660,-3.47844
15816,-2.29747,-8.49103,-1.02995
15866,0.39121,-9.20690,0.47444
15916,-3.31741,-8.68257,-1.15631
15966,-2.35493,-8.90763,0.15736
16016,-1.77315,-9.96826,-0.00239
16067,-0.55690,-11.64180,-2.33167
16116,-0.83462,-11.92192,-0.00716
16166,1.61943,-13.80857,-2.16479
16216,-3.30064,-13.33690,-1.32319
16266,-6.70999,-13.20522,2.90387
16315,-1.72526,-11.19409,0.57695
16365,-0.62393,-8.98903,0.98941
16415,-0.69336,-7.77756,1.42571
16476,-1.47627,-7.86136,0.85828
16516,-2.38367,-6.98508,1.57114
16564,-2.53689,-6.53977,-0.51975
16615,-3.15220,-7.07128,-4.85886
16665,-0.29832,-12.72159,-9.94661
16715,2.85964,-10.35613,-6.83293
16765,1.88759,-11.05762,-2.07896
16815,-6.34367,-15.80532,-4.68005
16866,-11.09378,0.79608,-2.80851
16916,0.03208,-16.20755,6.70657
16966,-1.58160,-8.73764,-2.36029
17016,-3.62865,-9.24042,-2.36029
17065,-0.08763,-8.89087,0.28610
17116,-1.08841,-8.91721,-0.17404
17167,-3.10193,-9.23563,-0.25272
17216,-3.20967,-9.16381,-0.34094
17267,-1.37572,-9.68575,0.02861
17315,-0.48746,-10.48540,1.14438
17364,-1.45233,-11.59632,-0.51020
17414,-0.18100,-11.83574,-3.93383
17471,3.49410,-12.58034,-1.45671
17515,-6.37001,-14.77103,1.33512
17565,-4.74435,-12.54682,0.35285
17615,-1.45471,-9.75517,-0.33617
17665,0.24756,-8.06008,1.96214
17715,-1.49063,-7.96192,0.61749
17765,-2.28311,-7.53815,1.22545
17815,-2.88167,-6.50624,0.42437
17867,-2.07002,-6.55412,-3.92428
17916,-2.25917,-9.64983,-7.58631
17967,2.99371,-11.86925,-7.97015
18016,3.84604,-9.29549,-6.98313
18067,-3.80104,-12.77666,3.75024
18116,-5.93666,-14.77582,-8.51135
18166,-6.74829,-5.45279,3.85753
18216,-1.00940,-13.52365,4.28429
18266,-0.30789,-9.06565,-5.97940
18316,-2.11313,-7.49504,0.18597
18367,0.11827,-9.52054,-0.73192
18417,-1.74681,-9.06565,-1.19683
18465,-2.65182,-9.09198,0.58650
18523,-2.37648,-9.40563,-0.07868
18567,-1.11954,-11.97220,-0.61511
18615,-1.41162,-12.78145,1.09909
18665,-0.24805,-14.78061,-2.68215
18715,-1.27276,-10.94031,-1.04186
18765,-7.10504,-12.26190,-0.72715
18814,-1.82103,-9.92276,3.78600
18864,-2.91997,-9.81981,-2.05750
18916,-2.57999,-8.20374,0.82253
18966,-1.98144,-7.97389,0.58888
19016,-2.51295,-6.76003,0.64372
19066,-2.29030,-5.13437,0.46252
19116,-1.91202,-5.10803,-2.60348
19167,-0.66942,-11.90996,-12.31881
19216,1.14778,-13.66251,-8.38500
19266,0.94428,-6.96593,-6.11530
19317,-7.29417,-16.93778,0.43630
19367,-9.02518,-0.65961,4.28190
19416,-1.67019,-12.98496,6.39424
19467,0.06560,-12.06319,-2.11711
19522,-3.58795,-8.09360,-3.35924
19566,-1.05488,-8.82382,-0.16213
19615,-0.47070,-9.21887,-0.55550
19664,-2.98222,-8.82382,-1.52823
19715,-2.23283,-8.90044,-0.29801
19765,-1.19853,-10.43991,0.20742
19815,-1.46908,-11.45267,0.94412
19865,-1.82822,-12.24755,-1.73088
19916,2.25630,-14.67287,-1.85247
19966,-1.59598,-11.37605,-0.23603
20016,-7.15532,-12.37204,0.30994
20066,0.22122,-11.85729,2.72983
20116,-2.06763,-8.99382,-0.59365
20166,-1.25120,-8.55808,1.26597
20217,-1.79948,-9.23563,-0.27656
20265,-2.45309,-6.12796,0.30278
20316,-1.95271,-5.68503,-0.45537
20366,-2.85773,-6.04656,-4.30336
20416,-1.79230,-9.47985,-7.62446
20466,1.23158,-13.67928,-7.65069
20522,2.34967,-7.56688,-6.44431
20565,-4.79463,-12.77187,1.23974
20615,-3.37726,-11.89798,1.72372
20665,-4.42113,-2.30921,3.31395
20715,2.01688,-15.20677,5.12112
