time,x,y,z
49001,-0.5855263,2.3969297,0.375
49012,-1.5153508,2.7905614,0.61073685
49021,-2.341,2.6008773,0.54714036
49031,-2.872807,1.8969299,0.38047367
49041,-3.008772,1.4374912,0.07126316
49052,-2.7817895,1.9418772,-0.39692983
49061,-2.2785087,3.0581052,-0.90898246
49071,-1.7203859,3.8629298,-1.3278421
49082,-1.4067894,3.4473684,-1.495614
49091,-1.4451754,1.7795964,-1.247807
49102,-1.847579,-0.29275438,-0.61731577
49111,-2.2258773,-1.0394737,0.038368423
49121,-2.466,-0.64582455,0.46929824
49131,-2.5054736,0.13266666,0.62389475
49141,-2.3717017,0.6403509,0.6600877
49152,-2.2872808,0.6666667,0.73573685
49161,-2.1776316,1.1381578,0.6655614
49171,-1.8969299,1.9188596,0.6030702
49181,-1.6008772,2.341,0.5646842
49191,-1.5372807,2.5471404,0.341
49202,-1.9067894,2.7631578,0.007666667
49211,-2.2993333,2.502193,-0.32017544
49221,-2.1864035,1.5646842,-0.59538597
49231,-1.7368422,0.7850877,-0.84210527
49241,-1.2850877,0.65240353,-0.91885966
49252,-1.0285088,1.127193,-0.7686316
49261,-0.961614,1.7368422,-0.57236844
49271,-0.9122807,1.9265263,-0.50766665
49281,-0.7752105,1.6392456,-0.5668772
49291,-0.69736844,1.2236842,-0.69845617
49302,-0.7565789,0.9331053,-0.84210527
49311,-0.90898246,0.8618421,-0.93091226
49321,-0.92763156,0.9747719,-0.966
49331,-0.69298244,1.1852982,-0.92214036
49342,-0.44626316,1.2774035,-0.6732456
49351,-0.56249124,1.2587719,-0.19517544
49362,-0.88705266,0.7434211,0.29494736
49371,-0.79933333,-0.27959648,0.3991228
49381,-0.29385966,-0.7785088,0.21052632
49392,0.10964912,-0.5372807,0.19626316
49401,0.36073685,-0.11950877,0.38047367
49412,0.9100877,0.09429824,0.5416667
49421,1.7752105,0.18091229,0.79714036
49431,2.491228,0.2631579,1.1962632
49441,3.0624912,0.081140354,1.625
49452,3.7653508,-0.19078948,1.6798246
49461,4.338807,-0.468193,1.5789474
49471,4.417754,-0.9934211,1.4780701
49482,4.1600876,-1.379386,1.1381578
49491,3.7850878,-1.3958246,0.711614
49502,3.5,-1.1809123,0.26973686
49511,3.3738947,-0.8936316,-0.11073684
49521,3.3673158,-0.58114034,-0.18749122
49532,3.3760877,-0.23684211,-0.051526316
49541,3.3607368,0.096491225,-0.055912282
49551,3.258772,0.60087717,-0.038368423
49562,3.0548246,1.2609649,0.053719297
49571,2.7664385,0.85415787,0.118421055
49581,2.0745614,-1.1392456,0.44078946
49591,1.8070176,-2.0175438,1.0241228
49602,1.7686316,-1.6710526,1.6436316
49611,1.9045964,-1.1008772,2.0208247
49621,1.961614,-1.7960526,2.2302632
49632,2.1260877,-3.2554736,2.2236843
49641,2.379386,-4.3980174,1.8212632
49652,2.493421,-4.756579,1.2434211
49661,2.44407,-4.7445087,0.84429824
49671,2.1129298,-4.580035,0.60415787
49681,1.5800351,-4.5076666,0.44956142
49691,1.097579,-4.479158,0.38705263
49701,0.6831053,-4.292754,0.3508772
49712,0.27082455,-3.872807,0.3256491
49721,-0.15789473,-3.3311403,0.29714036
49731,-0.5833333,-2.758772,0.29494736
49742,-1.0471404,-2.1677544,0.35635087
49751,-1.5230175,-1.6491228,0.5065789
49761,-1.9506491,-1.1721404,0.6918772
49771,-2.2894738,-0.61403507,0.85087717
49782,-2.5295966,0.058105264,0.8815789
49791,-2.504386,0.5833333,0.7949474
49802,-1.9988947,0.5800351,0.5668772
49812,-1.0449474,-0.062491227,0.08880702
49821,-0.5899123,-0.29714036,-0.123894736
49831,-0.4627193,0.053719297,-0.09757895
49841,0.021929825,-0.21380702,-0.123894736
49852,0.5219298,-0.4923158,-0.05482456
49861,0.97915787,-1.0833334,-0.015350877
49871,0.9517544,-1.716,-0.06140351
49882,0.4890351,-1.7390351,-0.17652632
49891,-0.18310526,-1.0635965,-0.26535088
49901,-0.4473684,-0.15021053,-0.35196492
49911,0.3190702,0.8114035,-0.39801756
49922,1.2236842,1.9681929,-0.2609649
49931,1.2631578,3.1151228,0.14254385
49941,0.6765263,2.9166667,0.38157895
49952,0.065789476,2.7017543,0.32784212
49961,-0.7028421,3.5120525,0.37719297
49972,-1.6820176,3.754386,0.53070176
49981,-2.468193,3.4988947,0.4287193
49991,-2.7116141,3.2192984,0.03508772
50001,-2.5361755,3.075649,-0.54605263
50012,-2.3651228,2.821263,-1.127193
50021,-2.479158,2.5186317,-1.5855263
50031,-2.6447368,2.4429824,-1.8585439
50042,-2.5460527,2.4342105,-1.9265263
50051,-2.3179824,1.6315789,-1.7817894
50061,-2.1140351,0.3881579,-1.3102982
50071,-2.0877192,-0.15898246,-0.466
50082,-2.1304736,0.23903508,0.39035088
50091,-2.2346492,0.81907016,0.8782807
50101,-2.343193,1.0833334,0.93421054
50112,-2.2949474,1.0098597,0.7949474
50121,-2.1513157,0.7719298,0.6622807
50131,-2.0493333,0.59538597,0.52740353
50142,-1.9572281,0.5877193,0.28398246
50151,-1.872807,0.9901228,0.11512281
50161,-1.7675439,1.6611755,0.078947365
50172,-1.7554737,2.0515263,0.038368423
50181,-1.8453859,2.3168771,-0.0877193
50191,-2.002193,2.4692984,-0.21929824
50202,-2.0350878,2.218193,-0.40350878
50211,-1.8629298,1.5493333,-0.6052632
50221,-1.5964912,0.82564914,-0.6798246
50231,-1.3114035,0.5153509,-0.6480175
50242,-1.0745614,0.74122804,-0.56798244
50251,-0.94298244,1.224772,-0.51096493
50261,-0.90570176,1.6480175,-0.5010877
50271,-0.84210527,1.6984562,-0.5537193
50282,-0.80591226,1.4429824,-0.68421054
50291,-0.77740353,1.1710526,-0.8651228
50301,-0.6545965,1.0570176,-1.0065789
50312,-0.48464912,1.0986842,-0.98903507
50321,-0.4550351,1.2072281,-0.7763158
50331,-0.6348596,1.1348597,-0.37061402
50342,-0.91117543,0.69298244,0.21929824
50351,-1.0065789,0.10745614,0.6754386
50361,-0.57126313,-0.14582457,0.58114034
50371,0.04385965,-0.033982456,0.32894737
50382,0.5295965,0.18968421,0.41336843
50391,1.0482457,0.31029823,0.72587717
50401,1.7072281,0.26205263,1.0219299
50411,2.4265263,0.09538596,1.2916666
50422,3.1732457,-0.18529825,1.5120527
50431,3.9616141,-0.5,1.5120527
50441,4.4967017,-0.7686316,1.4912281
50452,4.492316,-1.1666666,1.3453859
50461,4.211614,-1.6063509,0.97587717
50472,3.9298246,-1.7872807,0.50438595
50481,3.7258773,-1.6688596,-0.07345614
50491,3.6140351,-1.247807,-0.5504386
50502,3.6896842,-0.6129298,-0.3881579
50511,3.5515263,0.09977193,0.025210526
50521,3.1567895,0.90898246,0.042754386
50532,2.7598596,1.7795964,-0.062491227
50541,2.5964913,1.7763158,-0.11950877
50551,2.0526316,-0.6129298,0.19187719
50562,1.7982457,-2.5679824,0.92433333
50571,2.2752106,-2.0076666,1.3969299
50581,2.5032806,-1.1973684,1.6173158
50592,2.4429824,-1.7203859,1.8300351
50601,2.450649,-2.7149122,1.8936316
50611,2.5767543,-3.8081052,1.6578947
50621,2.6896842,-4.588807,1.1622807
50632,2.5646842,-4.7894735,0.7785088
50642,2.2302632,-4.799333,0.54933333
50651,1.7127193,-4.705035,0.4122807
50661,1.1852982,-4.4627194,0.38266668
50671,0.73245615,-4.080035,0.4287193
50682,0.3037193,-3.4967017,0.4649123
50691,-0.118421055,-2.8640351,0.4901228
50701,-0.5098596,-2.2894738,0.49780703
50711,-0.9100877,-1.7850877,0.5263158
