time,x,y,z
10001,-0.9769649,1.7883685,0.5537193
10011,-0.72915787,1.8234562,0.47257894
10022,-0.5010877,1.7346492,0.3859649
10031,-0.29494736,1.599772,0.33880702
10041,-0.083333336,1.4835439,0.3190702
10051,0.1282807,1.3695087,0.29933333
10061,0.3146842,1.2467017,0.26754385
10072,0.4627193,1.0581052,0.23026316
10081,0.48026314,0.70614034,0.17982456
10091,0.38157895,0.20394737,0.114035085
10101,0.40131578,-0.23464912,0.0877193
10111,0.586614,-0.45722806,0.1545965
10122,0.77740353,-0.53070176,0.25657895
10131,0.84538597,-0.4901228,0.3146842
10141,0.78617543,-0.3300351,0.32017544
10151,0.6392456,-0.040561404,0.27850878
10161,0.37061402,0.28836843,0.22257894
10171,-0.021929825,0.5997719,0.19517544
10181,-0.42543858,0.8684211,0.21161404
10192,-0.76205266,1.1096492,0.29714036
10201,-0.9528421,1.3015263,0.43749124
10211,-1.0054737,1.4364035,0.57236844
10221,-0.9517544,1.4901228,0.6787193
10231,-0.9517544,1.4901228,0.6787193
10241,-0.7598596,1.4484562,0.7510877
10252,-0.012052632,0.9451754,0.77740353
10261,0.40789473,0.5032807,0.67763156
10271,0.7214912,-0.02082456,0.47696492
10281,0.94626313,-0.6633684,0.2609649
10291,1.1370527,-1.4221404,0.06798246
10301,1.2609649,-1.9934211,-0.076754384
10311,1.3146842,-2.2686317,-0.121701755
10322,1.0789474,-2.4287193,0.039473683
10331,0.6918772,-2.6074562,0.10854386
10341,0.21819298,-2.354158,-0.54933333
10352,0.09429824,-2.224772,-1.0131578
10361,0.37280703,-2.1831052,-0.98903507
10371,0.8596491,-2.1381578,-0.93421054
10381,1.2192982,-2.504386,-1.0460526
10391,1.3552631,-2.8530703,-1.1162281
10401,1.5734562,-3.0482457,-1.1041579
10412,1.9681929,-3.3333333,-1.1589825
10421,2.3377192,-3.6403508,-1.3267543
10431,2.6864035,-3.7324562,-1.4506491
10441,3.0515263,-3.3782806,-1.2872807
10451,3.3738947,-2.455035,-0.72257894
10461,3.4057016,-1.2554737,-0.05263158
10472,3.0339825,-0.13266666,0.41994736
10481,2.618421,0.7105263,0.61403507
10491,2.625,0.8585439,0.5548246
10502,3.0899122,-0.3135965,0.18091229
10511,3.5076666,-1.341,0.032894738
10521,3.506579,-1.8717017,0.18529825
10531,2.9396842,-1.997807,0.26535088
10542,1.9791579,-1.9002105,0.3168772
10551,1.122807,-1.8421053,0.51754385
10561,0.752193,-1.8947369,0.68091226
10571,0.718193,-1.8059123,0.75
10581,0.718193,-1.8059123,0.75
10591,0.74889475,-1.254386,0.68421054
10602,0.69626313,-0.9736842,0.58880705
10611,0.6732456,-0.7894737,0.41775438
10621,0.69407016,-0.81798244,0.29494736
10632,0.72257894,-0.95942104,0.2532807
10641,0.75766665,-1.0745614,0.23464912
10651,0.76096493,-1.0504386,0.21161404
10661,0.73903507,-0.90570176,0.17105263
10671,0.72915787,-0.7247719,0.07784211
10681,0.71710527,-0.6063509,-0.038368423
10691,0.6831053,-0.57894737,-0.1282807
10703,0.6535088,-0.69298244,-0.1995614
10711,0.6535088,-0.69298244,-0.1995614
10721,0.6304737,-0.9177544,-0.2532807
10731,0.6184211,-0.8815789,-0.26205263
10742,0.6315789,-0.7795965,-0.29605263
10751,0.6885965,-0.68529826,-0.3618421
10761,0.74122804,-0.56578946,-0.45614034
10771,0.7730175,-0.41666666,-0.54933333
10782,0.7752105,-0.19626316,-0.61403507
10791,0.77412283,0.09429824,-0.6315789
10801,0.78398246,0.34977192,-0.58880705
10811,0.8201754,0.53070176,-0.49122807
10821,0.86403507,0.622807,-0.3640351
10831,0.9583333,0.5986842,-0.2642456
10841,1.0120527,0.47368422,-0.18310526
10852,0.8969298,0.17214034,-0.12061404
10861,0.65570176,-0.1787193,-0.114035085
10871,0.31029823,-0.35964912,-0.1754386
10881,-0.06140351,-0.43421054,-0.2905614
10891,-0.4791579,-0.57894737,-0.4440702
10902,-0.9736842,-0.7697368,-0.52082455
10911,-1.4451754,-0.8037193,-0.50438595
10921,-1.8881578,-0.6677544,-0.4385965
10931,-2.3267543,-0.31798247,-0.3146842
10941,-2.6918771,0.11731579,-0.11731579
10951,-2.866228,0.26205263,0.050438598
10962,-2.8914385,0.081140354,0.16994737
10971,-2.8267543,-0.13266666,0.25877193
10981,-2.7127192,-0.17214034,0.29933333
10991,-2.5921052,-0.003280702,0.31578946
11001,-2.5295966,0.35526314,0.3892456
11012,-2.5208247,0.875,0.5197368
11021,-2.474772,1.4232457,0.60415787
11031,-2.381579,1.7258772,0.6030702
11042,-2.2609649,1.8015263,0.5372807
11051,-2.1885965,1.724772,0.4122807
11061,-2.202842,1.4791579,0.24450877
11071,-2.3135965,1.1622807,0.069070175
11081,-2.4890351,0.875,-0.091
11091,-2.6710527,0.72257894,-0.21710527
11101,-2.7532806,0.8300351,-0.29933333
11112,-2.6414385,1.2357368,-0.3015263
11121,-2.4024036,1.6743333,-0.22257894
11131,-2.1370525,1.836614,-0.1513158
11141,-1.9988947,1.7620527,-0.0877193
11151,-1.9967017,1.8124912,-0.07126316
11162,-2.116228,2.0482457,-0.11950877
11171,-2.2510877,2.0427544,-0.16228071
11181,-2.2510877,1.8026316,-0.10745614
11191,-2.213807,1.5537193,0.01754386
11201,-2.1557016,1.3881578,0.15789473
11211,-2.0339825,1.3530701,0.3267544
11222,-1.851965,1.4166666,0.5153509
11231,-1.6392456,1.5493333,0.6885965
11241,-1.4045964,1.6567894,0.80591226
11251,-1.1447369,1.7017543,0.86950874
